,word,type,antonyms
2542,leeward,adjective,windward
2543,leeward,adverb,windward;downwind
2544,left,noun,right
2545,left,verb,arrive|enter|disinherit
2546,left,adjective,right|center
2547,left,adverb,right
2548,left-handed,adjective,ambidextrous
2549,legal,adjective,illegal
2550,legato,adjective,staccato
2551,legato,adverb,staccato
2552,legged,adjective,legless
2553,legible,adjective,illegible
2554,legitimate,verb,outlaw;outlaw;criminalize;criminalise
2555,legitimate,adjective,illegitimate
2556,legless,adjective,legged
2557,lengthened,verb,shorten|shorten
2558,lengthways,adjective,crosswise
2559,lengthwise,adjective,crosswise
2560,lentic,adjective,lotic
2561,leptorhine,adjective,catarrhine
2562,leptorrhine,adjective,catarrhine
2563,leptorrhinian,adjective,catarrhine
2564,leptorrhinic,adjective,catarrhine
2565,leptosporangiate,adjective,eusporangiate
2566,less,adjective,more
2567,less,adverb,more|more
2568,lessened,verb,increase|increase
2569,lesser,adjective,greater|more
2570,lethargic,adjective,energetic
2571,level,verb,raise
2572,liberal,noun,conservative
2573,liberal,adjective,conservative
2574,liberated,verb,confine
2575,licenced,verb,decertify
2576,licensed,verb,decertify
2577,licit,adjective,illicit
2578,lidded,adjective,lidless
2579,lidless,adjective,lidded
2580,lifted,verb,lower|fall
2581,light,noun,dark
2582,light,verb,extinguish
2583,light,adjective,heavy|dark|heavy|heavy|heavy|dark|heavy|heavy
2584,light-colored,adjective,dark
2585,light-duty,adjective,heavy-duty
2586,light-footed,adjective,heavy-footed
2587,light-haired,adjective,brunet
2588,lighted,verb,extinguish
2589,lighted,adjective,unlighted
2590,likable,adjective,unsympathetic
2591,like,verb,dislike
2592,like,adjective,unlike|unlike|unalike
2593,likeable,adjective,unsympathetic
2594,liked,verb,dislike
2595,liked,adjective,disliked
2596,likely,adjective,unlikely|improbable
2597,limbed,adjective,limbless
2598,limbless,adjective,limbed
2599,limited,noun,local
2600,limited,adjective,unlimited
2601,limitless,adjective,limited
2602,lineal,adjective,collateral
2603,linear,adjective,nonlinear|planar|digital
2604,lined,adjective,unlined
2605,lingual,adjective,nonlinguistic
2606,linguistic,adjective,nonlinguistic
2607,linked,verb,dissociate|disconnect
2608,lipless,adjective,lipped
2609,lipped,adjective,lipless
2610,liquid,adjective,gaseous|unmelted
2611,liquified,adjective,unmelted
2612,listed,adjective,unlisted
2613,lit,verb,extinguish
2614,lit,adjective,unlighted
2615,literal,adjective,figurative
2616,literate,adjective,illiterate|illiterate
2617,little,adjective,large;big|much|tall
2618,littler,adjective,large;big|much|tall
2619,livable,adjective,unlivable
2620,live,adjective,recorded|dead|dead
2621,live-bearing,adjective,oviparous
2622,liveable,adjective,unlivable
2623,lively,adjective,dull
2624,liveried,adjective,unliveried
2625,living,noun,dead
2626,loaded,adjective,unloaded
2627,loamless,adjective,loamy
2628,loamy,adjective,loamless
2629,local,noun,express
2630,local,adjective,national|general
2631,logical,adjective,illogical|incoherent
2632,long,adjective,short|short|unretentive|short|short
2633,long-spurred,adjective,short-spurred
2634,looking,verb,back
2635,loose,verb,confine|stiffen|stiffen
2636,loose,adjective,compact|tight|affixed
2637,loosened,verb,stiffen|stiffen
2638,lossless,adjective,lossy
2639,lossy,adjective,lossless
2640,lost,verb,keep|win|find|profit|win|gain
2641,lost,adjective,found|saved|won
2642,lotic,adjective,lentic
2643,loud,adjective,soft|piano
2644,loud,adverb,softly
2645,lovable,adjective,hateful
2646,loveable,adjective,hateful
2647,loved,verb,hate
2648,loved,adjective,unloved
2649,loving,verb,hate
2650,loving,adjective,unloving
2651,low,noun,high
2652,low,adjective,high|high|high
2653,low-class,adjective,middle-class
2654,low-interest,adjective,high-interest
2655,low-level,adjective,dominant
2656,low-pitched,adjective,high
2657,low-resolution,adjective,high-resolution
2658,low-rise,adjective,high-rise
2659,low-sudsing,adjective,high-sudsing
2660,low-tech,adjective,high-tech
2661,low-tension,adjective,high-tension
2662,low-voltage,adjective,high-tension
2663,lowborn,adjective,noble
2664,lower-class,adjective,middle-class
2665,lowercase,noun,uppercase
2666,lowercase,adjective,uppercase
2667,lowered,verb,raise
2668,lowered,adjective,raised
2669,lowering,verb,raise
2670,lowest,adjective,high|high|high
2671,lowland,noun,highland
2672,lowland,adjective,upland
2673,loyal,adjective,disloyal|unpatriotic
2674,lubricated,adjective,unlubricated
2675,luckless,adjective,lucky
2676,lucky,adjective,unlucky
2677,lyric,adjective,dramatic
2678,machine-made,adjective,handmade
2679,made,verb,unmake|break
2680,made,adjective,unmade
2681,magnetic,adjective,antimagnetic|nonmagnetic|geographic
2682,magnetised,verb,demagnetize;demagnetise
2683,magnetised,adjective,antimagnetic
2684,magnetized,verb,demagnetize;demagnetise
2685,magnetized,adjective,antimagnetic
2686,magnified,verb,understate|reduce
2687,main,adjective,dependent
2688,major,adjective,minor|minor|minor|minor|minor|minor|minor
2689,majuscule,noun,lowercase
2690,majuscule,adjective,minuscule
2691,maladaptive,adjective,adaptive
2692,maladjusted,adjective,adjusted
2693,maladroit,adjective,adroit
2694,malapropos,adjective,apropos
2695,malapropos,adverb,opportunely
2696,male,noun,female|female
2697,male,adjective,female
2698,maledict,verb,bless
2699,maleficent,adjective,beneficent
2700,malfunctioning,verb,function
2701,malfunctioning,adjective,functioning
2702,malicious,adjective,unmalicious
2703,malign,adjective,benign
2704,malignant,adjective,benign
2705,malnourished,adjective,nourished
2706,malodorous,adjective,fragrant
2707,malodourous,adjective,fragrant
2708,malted,adjective,unmalted
2709,maltreated,adjective,unabused
2710,manageable,adjective,unmanageable
2711,manful,adjective,unmanly
2712,manipulable,adjective,intractable
2713,manlike,adjective,unmanly
2714,manly,adjective,unmanly
2715,manly,adverb,unmanfully
2716,manned,adjective,unmanned
2717,manual,adjective,automatic
2718,many,adjective,few
2719,many-sided,adjective,unilateral
2720,marked,verb,ignore
2721,marked,adjective,unmarked
2722,married,adjective,unmarried
2723,masculine,adjective,feminine|feminine
2724,masked,verb,unmask
2725,masochistic,adjective,sadistic
2726,mat,verb,disentangle;unsnarl
2727,matched,verb,disagree
2728,matched,adjective,mismatched
2729,matching,verb,disagree
2730,mated,verb,disentangle;unsnarl
2731,mated,adjective,unmated
2732,material,adjective,immaterial|immaterial|incorporeal|insubstantial
2733,maternal,adjective,paternal|filial
2734,mathematical,adjective,verbal
2735,matriarchal,adjective,patriarchal
2736,matted,verb,disentangle;unsnarl
2737,mature,adjective,immature|immature|green|unfledged
2738,maxi,adjective,mini
2739,maximal,adjective,minimal;minimum
2740,maximising,verb,minimize;minimise
2741,maximizing,verb,minimize;minimise
2742,maximum,noun,minimum|minimum
2743,maximum,adjective,minimal;minimum
2744,meager,adjective,ample
2745,meagerly,adjective,ample
2746,meagerly,adverb,amply
2747,meagre,adjective,ample
2748,meaningful,adjective,meaningless
2749,meaningless,adjective,meaningful
2750,meanspirited,adjective,generous
2751,measurable,adjective,immeasurable
2752,meatless,adjective,meaty
2753,meaty,adjective,meatless
2754,mechanical,adjective,nonmechanical
2755,mediate,adjective,immediate
2756,medical,adjective,surgical
2757,medullated,adjective,unmyelinated
2758,meet,verb,diverge
2759,melodic,adjective,unmelodious
2760,melodious,adjective,tuneless|unmelodious
2761,melted,adjective,unmelted
2762,membered,adjective,memberless
2763,memberless,adjective,membered
2764,mensurable,adjective,immeasurable
2765,mental,adjective,physical
2766,merciful,adjective,merciless
2767,merciless,adjective,merciful
2768,merged,verb,disunify
2769,merging,verb,disunify
2770,merited,adjective,unmerited
2771,meshed,verb,disengage
2772,mesial,adjective,distal
2773,mesic,adjective,xeric
2774,mesomorphic,adjective,ectomorphic
2775,metabolic,adjective,ametabolic
2776,metabolous,adjective,ametabolic
2777,metal,adjective,nonmetallic
2778,metallic,adjective,nonmetallic
2779,metamorphic,adjective,nonmetamorphic
2780,middle,noun,end|end
2781,middle,adjective,late|late
2782,middle-class,adjective,upper-class
2783,middling,adverb,unreasonably;immoderately
2784,midi,adjective,maxi
2785,migratory,adjective,nonmigratory
2786,mild,adjective,intense
2787,militarised,verb,demilitarize;demilitarise
2788,militarized,verb,demilitarize;demilitarise
2789,military,adjective,unmilitary|civilian
2790,minded,verb,forget
2791,mindful,adjective,unmindful
2792,mindless,adjective,mindful
2793,mined,adjective,unmined
2794,mini,adjective,midi
2795,minimal,adjective,maximal;maximum
2796,minimized,verb,maximize;maximise|overstate
2797,minimum,noun,maximum|maximum
2798,minimum,adjective,maximal;maximum
2799,minor,adjective,major|major|major|major|major|major|major
2800,minus,adjective,plus
2801,minuscular,adjective,majuscule
2802,minuscule,noun,uppercase
2803,minuscule,adjective,majuscule
2804,miscible,adjective,immiscible
2805,mismatched,adjective,matched
2806,missed,verb,attend|attend to|have|hit
2807,missing,verb,attend|attend to|have|hit
2808,mistreated,adjective,unabused
2809,misused,adjective,used
2810,mitigated,adjective,unmitigated
2811,mixable,adjective,immiscible
2812,mixed,verb,segregate
2813,mobile,noun,stabile
2814,mobile,adjective,immobile
2815,moderate,adjective,immoderate
2816,moderating,adjective,intensifying
2817,modern,noun,old style
2818,modern,adjective,nonmodern
2819,modest,adjective,immodest|immodest
2820,modifiable,adjective,unmodifiable
2821,modified,adjective,unmodified
2822,modulated,adjective,unmodulated
2823,molar,adjective,molecular
2824,molecular,adjective,molar
2825,monaural,adjective,binaural
2826,monecious,adjective,dioecious
2827,moneyed,adjective,moneyless
2828,moneyless,adjective,moneyed
2829,monied,adjective,moneyless
2830,monochromatic,adjective,polychromatic
2831,monoclinic,adjective,triclinic
2832,monoclinous,adjective,diclinous
2833,monocotyledonous,adjective,dicotyledonous
2834,monoecious,adjective,dioecious
2835,monogamous,adjective,polygamous
2836,monoicous,adjective,dioecious
2837,monolingual,adjective,multilingual
2838,mononuclear,adjective,binucleate
2839,mononucleate,adjective,binucleate
2840,monophonic,adjective,polyphonic
2841,monoploid,adjective,diploid
2842,monotheistic,adjective,polytheistic
2843,monotone,adjective,nonmonotonic
2844,monotonic,adjective,nonmonotonic
2845,monovalent,adjective,polyvalent|polyvalent
2846,monovular,adjective,fraternal
2847,moonless,adjective,moonlit
2848,moonlit,adjective,moonless
2849,moony,adjective,moonless
2850,moral,adjective,immoral
2851,more,adjective,less|fewer
2852,more,adverb,less|less
2853,more than,adjective,less
2854,mortal,adjective,immortal
2855,most,adjective,fewest|least
2856,most,adverb,least
2857,motivated,adjective,unmotivated
2858,motored,adjective,unmotorized
2859,motorial,adjective,afferent
2860,motorised,adjective,unmotorized
2861,motorized,adjective,unmotorized
2862,motorless,adjective,motorized
2863,mounted,verb,wane|hop out
2864,mouthless,adjective,stomatous
2865,moved,verb,stay in place|stand still|stay|rest|refrain
2866,moved,adjective,unmoved
2867,moving,verb,stay in place|stand still|stay|rest|refrain
2868,moving,adjective,nonmoving|unmoving|still
2869,mown,adjective,unmown
2870,much,adjective,little
2871,multidimensional,adjective,unidimensional
2872,multiform,adjective,uniform
2873,multilane,adjective,single-lane
2874,multilateral,adjective,unilateral
2875,multilingual,adjective,monolingual
2876,multinucleate,adjective,uninucleate
2877,multiparous,adjective,uniparous
2878,multiple,adjective,single
2879,multiple-choice,adjective,true-false
2880,multiplied,verb,divide
2881,multivalent,adjective,univalent|monovalent
2882,muscular,adjective,ectomorphic
2883,musical,adjective,unmusical|unmusical|unmelodious
2884,mutable,adjective,immutable
2885,mutual,adjective,nonreciprocal
2886,myelinated,adjective,unmyelinated
2887,myopic,adjective,farsighted
2888,mystified,verb,demystify
2889,mystifying,verb,demystify
2890,naif,adjective,sophisticated
2891,naive,adjective,sophisticated
2892,narrow,verb,widen|diversify;diversify
2893,narrow,adjective,wide|broad-minded|wide
2894,narrow-minded,adjective,unshockable|broad-minded
2895,narrowed,verb,widen|diversify;diversify
2896,narrowing,noun,widening|widening
2897,narrowing,verb,widen|diversify;diversify
2898,nascent,adjective,dying
2899,nasty,adjective,nice
2900,national,adjective,international|local
2901,native,adjective,foreign|adopted|nonnative
2902,natural,adjective,unnatural|artificial|supernatural|sharp
2903,naturalised,verb,denaturalize|denaturalize
2904,naturalized,verb,denaturalize|denaturalize
2905,near,adjective,far
2906,nearsighted,adjective,farsighted
2907,necessary,noun,inessential
2908,necessary,adjective,unnecessary
2909,necked,adjective,neckless
2910,neckless,adjective,necked
2911,needed,verb,obviate
2912,negative,noun,affirmative
2913,negative,adjective,neutral|affirmative|positive|positive
2914,neglected,verb,attend to
2915,negligent,adjective,diligent
2916,net,adjective,gross
2917,nett,adjective,gross
2918,neurotic,adjective,unneurotic
2919,neuter,adjective,masculine
2920,neutral,adjective,positive|chromatic
2921,new,adjective,old|worn
2922,nice,adjective,nasty
2923,nidicolous,adjective,nidifugous
2924,nidifugous,adjective,nidicolous
2925,nigh,adjective,far
2926,no,noun,yes
2927,no,adjective,all
2928,no-go,adjective,go
2929,noble,noun,Lady;noblewoman
2930,noble,adjective,lowborn|ignoble
2931,nocturnal,adjective,diurnal
2932,noisy,adjective,quiet
2933,nominal,adjective,real
2934,nominative,noun,oblique
2935,nomothetic,adjective,idiographic
2936,non-conducting,adjective,conductive
2937,non-finite,adjective,finite
2938,non-invertible,adjective,invertible
2939,non-living,adjective,animate
2940,non-miscible,adjective,miscible
2941,nonabsorbent,adjective,absorbent
2942,nonabsorptive,adjective,absorbent
2943,nonaddictive,adjective,addictive
2944,nonadhesive,adjective,adhesive
2945,nonadsorbent,adjective,adsorbent
2946,nonadsorptive,adjective,adsorbent
2947,nonaged,adjective,major
2948,nonaggressive,adjective,aggressive
2949,nonalcoholic,adjective,alcoholic
2950,nonaligned,adjective,aligned
2951,nonarbitrable,adjective,arbitrable
2952,nonarbitrary,adjective,arbitrary
2953,nonarboreal,adjective,arboreal
2954,nonassociative,adjective,associative
2955,nonastringent,adjective,astringent
2956,nonbearing,adjective,bearing
2957,noncausal,adjective,causative
2958,noncausative,adjective,causative
2959,noncellular,adjective,cellular
2960,noncivilised,adjective,civilized
2961,noncivilized,adjective,civilized
2962,nonclassical,adjective,classical
2963,noncollapsable,adjective,collapsible
2964,noncollapsible,adjective,collapsible
2965,noncolumned,adjective,columned
2966,noncombinative,adjective,combinative
2967,noncombustible,adjective,combustible
2968,noncommercial,adjective,commercial
2969,noncommissioned,adjective,commissioned
2970,noncompetitive,adjective,competitive
2971,noncompliant,adjective,compliant
2972,noncomprehensive,adjective,comprehensive
2973,nonconcentric,adjective,concentric
2974,nonconducting,adjective,conductive
2975,nonconductive,adjective,conductive
2976,nonconformist,noun,Anglican|conformist
2977,nonconformist,adjective,conformist
2978,noncontinuous,adjective,continuous
2979,noncontroversial,adjective,controversial
2980,noncritical,adjective,critical|critical|critical
2981,noncrucial,adjective,crucial|critical
2982,noncrystalline,adjective,crystalline
2983,noncurrent,adjective,current
2984,noncyclic,adjective,cyclic
2985,noncyclical,adjective,cyclic
2986,nondeductible,adjective,deductible
2987,nondisposable,adjective,disposable|disposable
2988,nonechoic,adjective,echoic
2989,noneffervescent,adjective,sparkling|effervescent
2990,nonenterprising,adjective,enterprising
2991,nonessential,noun,essential
2992,nonexempt,adjective,nontaxable|exempt
2993,nonexistent,adjective,existent
2994,nonexplorative,adjective,exploratory
2995,nonexploratory,adjective,exploratory
2996,nonexplosive,adjective,explosive
2997,nonextant,adjective,extant
2998,nonextensile,adjective,extensile
2999,nonfat,adjective,fatty
3000,nonfatal,adjective,fatal
3001,nonfictional,adjective,fictional
3002,nonfinancial,adjective,financial
3003,nonfissile,adjective,fissile
3004,nonfissionable,adjective,fissionable
3005,nonflowering,adjective,flowering
3006,nonfunctional,adjective,functional|functioning
3007,nonharmonic,adjective,harmonic
3008,nonheritable,adjective,inheritable
3009,nonhierarchic,adjective,hierarchical
3010,nonhierarchical,adjective,hierarchical
3011,nonhuman,adjective,human
3012,nonimitative,adjective,imitative
3013,nonindulgent,adjective,indulgent
3014,nonindustrial,adjective,industrial
3015,noninfectious,adjective,infectious
3016,noninheritable,adjective,inheritable
3017,noninstitutional,adjective,institutional
3018,noninstitutionalised,adjective,institutionalized
3019,noninstitutionalized,adjective,institutionalized
3020,nonintegrated,adjective,integrated
3021,nonintellectual,adjective,intellectual
3022,noninvasive,adjective,invasive
3023,nonionic,adjective,ionized|ionic
3024,nonionised,adjective,ionized
3025,nonionized,adjective,ionized
3026,nonjudgmental,adjective,judgmental
3027,nonlinear,adjective,linear
3028,nonlinguistic,adjective,linguistic
3029,nonliteral,adjective,literal
3030,nonliving,adjective,animate
3031,nonmagnetic,adjective,magnetic
3032,nonmaterial,adjective,material
3033,nonmeaningful,adjective,meaningful
3034,nonmechanical,adjective,mechanical
3035,nonmetal,adjective,metallic
3036,nonmetallic,adjective,metallic
3037,nonmetamorphic,adjective,metamorphic
3038,nonmigratory,adjective,migratory
3039,nonmilitary,adjective,military
3040,nonmodern,adjective,modern
3041,nonmonotonic,adjective,monotonic
3042,nonmoving,adjective,moving
3043,nonmusical,adjective,musical|musical
3044,nonnative,adjective,native
3045,nonoperational,adjective,operational
3046,nonparticulate,adjective,particulate
3047,nonpartisan,noun,partisan
3048,nonpartisan,adjective,partisan
3049,nonpartizan,noun,partisan
3050,nonpartizan,adjective,partisan
3051,nonpasserine,adjective,passerine
3052,nonperiodic,adjective,periodic
3053,nonphotosynthetic,adjective,photosynthetic
3054,nonpolar,adjective,ionic
3055,nonpolitical,adjective,political
3056,nonporous,adjective,porous
3057,nonpregnant,adjective,pregnant
3058,nonprehensile,adjective,prehensile
3059,nonprescription,adjective,prescription
3060,nonprofessional,adjective,professional
3061,nonproprietary,adjective,proprietary
3062,nonprotractile,adjective,extensile
3063,nonpsychoactive,adjective,psychoactive
3064,nonracial,adjective,racial
3065,nonradioactive,adjective,radioactive
3066,nonrandom,adjective,random
3067,nonreciprocal,adjective,reciprocal
3068,nonreflecting,adjective,reflective
3069,nonreflective,adjective,reflective
3070,nonrenewable,adjective,renewable
3071,nonrepetitive,adjective,repetitive
3072,nonrepresentational,adjective,representational
3073,nonrepresentative,adjective,representative
3074,nonresident,noun,resident
3075,nonresident,adjective,resident
3076,nonresidential,adjective,residential
3077,nonresonant,adjective,reverberant
3078,nonreticulate,adjective,reticulate
3079,nonretractable,adjective,retractile
3080,nonretractile,adjective,retractile
3081,nonreturnable,adjective,returnable
3082,nonreversible,adjective,reversible
3083,nonrigid,adjective,rigid
3084,nonruminant,adjective,ruminant
3085,nonsectarian,adjective,sectarian
3086,nonsexual,adjective,sexual
3087,nonsignificant,adjective,significant
3088,nonslippery,adjective,slippery
3089,nonspatial,adjective,spatial
3090,nonspeaking,adjective,speaking
3091,nonspecific,adjective,specific
3092,nonspherical,adjective,spherical
3093,nonstandard,adjective,standard|standard|standard
3094,nonsteroidal,adjective,steroidal
3095,nonsubjective,adjective,subjective
3096,nonsubmergible,adjective,submersible
3097,nonsubmersible,adjective,submersible
3098,nonsuppurative,adjective,suppurative
3099,nonsurgical,adjective,surgical
3100,nonsweet,adjective,sugary
3101,nonsyllabic,adjective,syllabic|syllabic
3102,nontaxable,adjective,taxable
3103,nontechnical,adjective,technical
3104,nonterritorial,adjective,territorial
3105,nonthermal,adjective,thermal
3106,nontoxic,adjective,toxic
3107,nontraditional,adjective,traditional
3108,nontranslational,adjective,translational
3109,nonunion,adjective,union
3110,nonviolent,adjective,violent
3111,nonvolatile,adjective,volatile
3112,nonvolatilisable,adjective,volatile
3113,nonvolatilizable,adjective,volatile
3114,nonvoluntary,adjective,voluntary
3115,nonwashable,adjective,washable
3116,nonwoody,adjective,woody
3117,normal,adjective,abnormal|paranormal|abnormal
3118,normative,adjective,descriptive
3119,normotensive,adjective,hypertensive
3120,north,adjective,south
3121,northern,adjective,southern|southern
3122,nosed,adjective,noseless
3123,noseless,adjective,nosed
3124,not intrusive,adjective,intrusive
3125,not surprised,adjective,surprised
3126,noted,verb,ignore
3127,noticeable,adjective,unnoticeable|unobtrusive
3128,noticed,verb,ignore
3129,noticed,adjective,unnoticed
3130,nourished,adjective,malnourished
3131,noxious,adjective,innocuous
3132,nuclear,adjective,conventional
3133,nullified,verb,validate|validate
3134,numerate,adjective,innumerate
3135,numerical,adjective,verbal
3136,nursed,verb,bottlefeed
3137,o.k.,verb,disapprove
3138,obedient,adjective,disobedient
3139,objective,adjective,subjective
3140,oblate,adjective,prolate
3141,obligate,adjective,facultative
3142,obligated,adjective,unobligated
3143,obligatory,adjective,optional
3144,obliged,verb,disoblige
3145,obliging,verb,disoblige
3146,oblique,noun,nominative
3147,oblique,adjective,parallel
3148,observed,verb,disrespect|break
3149,observing,verb,disrespect|break
3150,obstinate,adjective,docile
3151,obstructed,verb,free
3152,obstructed,adjective,unobstructed
3153,obtrusive,adjective,unobtrusive
3154,obtuse,adjective,acute
3155,obviating,verb,necessitate
3156,obvious,adjective,unobvious
3157,occluded,verb,free
3158,occlusive,noun,continuant consonant
3159,occupied,adjective,unoccupied|unoccupied
3160,odd,adjective,even
3161,odorless,adjective,odorous
3162,odorous,adjective,odorless
3163,odourless,adjective,odorous
3164,of import,adjective,unimportant
3165,off,adjective,on|on
3166,off-line,adjective,on-line|on-line
3167,off-site,adjective,on-site
3168,off-street,adjective,on-street
3169,offended,verb,keep
3170,offending,verb,keep
3171,offending,adjective,unoffending
3172,offensive,adjective,defensive|inoffensive|savory|inoffensive|euphemistic
3173,official,adjective,unofficial
3174,offshore,adjective,inshore
3175,offshore,adverb,onshore
3176,offside,adjective,onside
3177,offsides,adjective,onside
3178,offstage,adjective,onstage
3179,offstage,adverb,onstage
3180,oiled,adjective,unoiled
3181,okay,verb,disapprove
3182,old,adjective,young|new
3183,older,adjective,young|new
3184,oleophilic,adjective,oleophobic
3185,oleophobic,adjective,oleophilic
3186,omnidirectional,adjective,directional
3187,omnivorous,adjective,insectivorous
3188,on,adjective,off|off
3189,on-line,adjective,off-line|off-line
3190,on-site,adjective,off-site
3191,on-street,adjective,off-street
3192,one-dimensional,adjective,multidimensional|planar
3193,one-piece,adjective,two-piece
3194,one-sided,adjective,reversible|multilateral
3195,one-year,adjective,biennial
3196,online,adjective,off-line|off-line
3197,onomatopoeic,adjective,nonechoic
3198,onomatopoeical,adjective,nonechoic
3199,onomatopoetic,adjective,nonechoic
3200,onshore,adjective,offshore
3201,onshore,adverb,offshore
3202,onside,adjective,offside
3203,onstage,adjective,offstage
3204,onstage,adverb,offstage
3205,onymous,adjective,anonymous
3206,opaque,adjective,clear
3207,open,verb,close|close|close|close|fold|close
3208,open,adjective,shut|closed|closed|closed|unreceptive|covert
3209,open-chain,adjective,cyclic
3210,opened,verb,close|close|close|close|fold|close
3211,opened,adjective,closed
3212,opening,noun,closing
3213,opening,verb,close|close|close|close|fold|close
3214,opening,adjective,closing
3215,operable,adjective,inoperable
3216,operating,verb,malfunction|disengage
3217,operational,adjective,nonoperational
3218,operative,adjective,inoperative|medical
3219,opisthognathous,adjective,prognathous
3220,opponent,noun,agonist
3221,opportune,adjective,inopportune
3222,opposable,adjective,unopposable
3223,opposed,adjective,unopposed
3224,opposite,noun,synonym
3225,opposite,adjective,alternate
3226,optimistic,adjective,pessimistic
3227,optional,adjective,obligatory
3228,oral,adjective,aboral|anal
3229,ordered,verb,deregulate|disorder
3230,ordered,adjective,disordered|disarranged|incoherent
3231,orderly,adjective,disorderly
3232,ordinal,adjective,cardinal
3233,ordinary,adjective,extraordinary
3234,organic,adjective,inorganic|inorganic|functional
3235,organised,verb,disorganize;disorganise
3236,organized,verb,disorganize;disorganise
3237,organized,adjective,unorganized|disorganized
3238,orientated,verb,disorient
3239,orientated,adjective,unoriented
3240,orientating,verb,disorient
3241,orientating,adjective,disorienting
3242,oriented,verb,disorient
3243,oriented,adjective,unoriented
3244,orienting,verb,disorient
3245,orienting,adjective,disorienting
3246,original,adjective,unoriginal
3247,originative,adjective,uncreative
3248,orthodox,adjective,unorthodox
3249,orthotropous,adjective,campylotropous
3250,ostentatious,adjective,unostentatious
3251,other,adjective,same
3252,out,adjective,safe
3253,out-of-door,adjective,indoor
3254,outboard,adjective,inboard
3255,outbred,adjective,inbred
3256,outdoor,adjective,indoor
3257,outer,adjective,inner|safe
3258,outgoing,adjective,incoming|incoming
3259,outlaw,verb,legalize;decriminalize;decriminalise
3260,outlawed,verb,legalize;decriminalize;decriminalise
3261,outside,noun,inside|inside
3262,outside,adjective,inside|indoor
3263,outside,adverb,inside;indoors|inside
3264,outward,adjective,inward
3265,outward,adverb,inward
3266,over-the-counter,adjective,prescription
3267,overarm,adjective,underhand
3268,overcast,verb,clear up
3269,overdressed,verb,underdress|underdress;dress down
3270,overhand,adjective,underhand
3271,overhanded,adjective,underhand
3272,overhead,adjective,surface
3273,overlooked,verb,attend to
3274,overlooking,verb,attend to
3275,overshot,verb,undershoot
3276,overstated,verb,understate
3277,overt,adjective,covert
3278,oviparous,adjective,ovoviviparous
3279,ovoviviparous,adjective,viviparous
3280,owned,adjective,unowned
3281,ownerless,adjective,owned
3282,oxidised,verb,deoxidize;deoxidise
3283,oxidized,verb,deoxidize;deoxidise
3284,packaged,verb,unbox
3285,packaged,adjective,unpackaged
3286,packed,verb,unpack
3287,paid,verb,default
3288,paid,adjective,unpaid
3289,painful,adjective,painless
3290,painless,adjective,painful
3291,paintable,adjective,unpaintable
3292,painted,adjective,unpainted|unpainted
3293,paired,adjective,alternate
3294,palatable,adjective,unpalatable
3295,palingenetic,adjective,cenogenetic
3296,palpable,adjective,impalpable
3297,paradigmatic,adjective,syntagmatic
3298,parallel,adjective,perpendicular
3299,paranormal,adjective,sensory|normal
3300,pardonable,adjective,unpardonable
3301,parental,adjective,filial|filial
3302,parented,adjective,unparented
3303,parentless,adjective,parented
3304,part-time,adjective,full-time
3305,part-time,adverb,full-time
3306,partial,adjective,impartial
3307,participating,verb,drop out
3308,particular,noun,general;general|universal;universal proposition
3309,particularised,verb,generalize
3310,particularized,verb,generalize
3311,particulate,adjective,nonparticulate
3312,partisan,noun,nonpartisan
3313,partisan,adjective,nonpartisan
3314,partizan,adjective,nonpartisan
3315,parttime,adjective,full-time
3316,pass,noun,failing
3317,pass,verb,fail|fail|be born
3318,pass,adjective,running
3319,passable,adjective,impassable
3320,passerine,adjective,nonpasserine
3321,passing,noun,failing
3322,passing,verb,fail|fail|be born
3323,passing,adjective,running
3324,passionate,adjective,passionless
3325,passionless,adjective,passionate
3326,passive,noun,active voice
3327,passive,adjective,active|active
3328,past,noun,future
3329,past,adjective,present
3330,paternal,adjective,maternal|filial
3331,patient,adjective,impatient
3332,patriarchal,adjective,matriarchal
3333,patriotic,adjective,unpatriotic
3334,patronised,verb,boycott;boycott
3335,patronised,adjective,unpatronized
3336,patronising,verb,boycott;boycott
3337,patronized,verb,boycott;boycott
3338,patronized,adjective,unpatronized
3339,patronizing,verb,boycott;boycott
3340,patronless,adjective,patronized
3341,patterned,adjective,plain
3342,paved,adjective,unpaved
3343,paying,verb,default
3344,paying attention,noun,inattentiveness
3345,paying attention,adjective,heedless
3346,peaceable,adjective,unpeaceful
3347,peaceful,adjective,unpeaceful
3348,peaked,verb,bottom out
3349,pedunculate,adjective,sessile
3350,peeled,verb,dress
3351,penetrable,adjective,impenetrable
3352,penitent,adjective,impenitent;unrepentant
3353,perceptible,adjective,imperceptible
3354,perceptive,adjective,unperceptive
3355,perennial,adjective,annual
3356,perfect,adjective,imperfect
3357,perinatal,adjective,postnatal
3358,periodic,adjective,aperiodic
3359,periodical,adjective,aperiodic
3360,peripheral,adjective,central
3361,peripteral,adjective,apteral
3362,perishable,adjective,imperishable
3363,permanent,adjective,impermanent
3364,permeable,adjective,impermeable
3365,permissible,adjective,impermissible
3366,permissive,adjective,preventive|unpermissive
3367,perpendicular,adjective,oblique|inclined
3368,perplexed,verb,simplify
3369,perplexed,adjective,unperplexed
3370,perplexing,verb,simplify
3371,persistent,adjective,caducous
3372,personal,adjective,impersonal
3373,personalised,verb,depersonalize;depersonalise
